"state_name","district_name","state_code","district_code"
"Andaman & Nicobar","Andamans","35","639"
"Andaman & Nicobar","Nicobars","35","638"
"Andhra Pradesh","Anantapur","28","553"
"Andhra Pradesh","Chittoor","28","554"
"Andhra Pradesh","East godavari","28","545"
"Andhra Pradesh","Guntur","28","548"
"Andhra Pradesh","Kadapa","28","551"
"Andhra Pradesh","Krishna","28","547"
"Andhra Pradesh","Kurnool","28","552"
"Andhra Pradesh","Prakasam","28","549"
"Andhra Pradesh","Spsr nellore","28","550"
"Andhra Pradesh","Srikakulam","28","542"
"Andhra Pradesh","Visakhapatanam","28","544"
"Andhra Pradesh","Vizianagaram","28","543"
"Andhra Pradesh","West godavari","28","546"
"Arunachal Pradesh","Anjaw","12","260"
"Arunachal Pradesh","Changlang","12","253"
"Arunachal Pradesh","Dibang Valley","12","257"
"Arunachal Pradesh","East Kameng","12","247"
"Arunachal Pradesh","East Siang","12","251"
"Arunachal Pradesh","Kurung Kumey","12","256"
"Arunachal Pradesh","Lohit","12","259"
"Arunachal Pradesh","Lower Dibang Valley","12","258"
"Arunachal Pradesh","Lower Subansiri","12","255"
"Arunachal Pradesh","Papum Pare","12","248"
"Arunachal Pradesh","Tawang","12","245"
"Arunachal Pradesh","Tirap","12","254"
"Arunachal Pradesh","Upper Siang","12","252"
"Arunachal Pradesh","Upper Subansiri","12","249"
"Arunachal Pradesh","West Kameng","12","246"
"Arunachal Pradesh","West Siang","12","250"
"Assam","Baksa","18","324"
"Assam","Barpeta","18","303"
"Assam","Bongaigaon","18","319"
"Assam","Cachar","18","316"
"Assam","Chirang","18","320"
"Assam","Darrang","18","325"
"Assam","Dhemaji","18","308"
"Assam","Dhuburi","18","301"
"Assam","Dibrugarh","18","310"
"Assam","Goalpara","18","302"
"Assam","Golaghat","18","313"
"Assam","Hailakandi","18","318"
"Assam","Jorhat","18","312"
"Assam","Kamrrup Rural","18","321"
"Assam","Kamrup metro","18","322"
"Assam","Karbi Anglong","18","314"
"Assam","Karimganj","18","317"
"Assam","Kokrajhar","18","300"
"Assam","Lakhimpur","18","307"
"Assam","Morigaon","18","304"
"Assam","NC Hills","18","315"
"Assam","Nagaon","18","305"
"Assam","Nalbari","18","323"
"Assam","Sibsagar","18","311"
"Assam","Sonitpur","18","306"
"Assam","Tinsukia","18","309"
"Assam","Udalguri","18","326"
"Bihar","Araria","10","188"
"Bihar","Arwal","10","611"
"Bihar","Aurangabad","10","189"
"Bihar","Banka","10","190"
"Bihar","Begusarai","10","191"
"Bihar","Bhagalpur","10","192"
